Site	Year	N	Mean annual daily flow (m3/s)	SE	Mean Feb flow (m3/s)	SE	30-day minimum flow (m3/s)	Julian date of annual minimum flow	Number of high flow pulses >3x median annual daily flow	Richards-Baker Index
Mersey MillFalls	1968	365	7.19488	0.36585	7.83214	0.29632	0.5198	293	64	0.07386
Mersey MillFalls	1969	365	7.08122	0.32806	13.85786	1.69424	1.178	224	38	0.08925
Mersey MillFalls	1970	365	9.34006	0.44203	18.93857	2.31228	1.168	195	21	0.08475
Mersey MillFalls	1971	366	9.34886	0.46828	9.95793	0.85683	0.9964	274	29	0.09695
Mersey MillFalls	1972	365	11.18863	0.33002	12.97071	1.10085	3.229	275	1	0.08770
Mersey MillFalls	1973	365	8.36602	0.35882	15.15143	1.24255	1.125	299	58	0.07876
Mersey MillFalls	1974	365	8.04926	0.36377	5.36714	0.25628	0.6232	243	26	0.06726
Mersey MillFalls	1975	366	11.59101	0.50239	19.81000	1.72373	2.028	275	25	0.11626
Mersey MillFalls	1976	365	10.05923	0.38615	6.82429	0.61013	3.99	194	26	0.08660
Mersey MillFalls	1977	365	9.61574	0.50836	11.32000	1.25419	0.1162	250	46	0.11224
Mersey MillFalls	1978	365	10.94062	0.60013	14.81179	2.30861	0.9653	278	52	0.11166
Mersey MillFalls	1979	366	7.28772	0.36807	3.42034	0.24421	0.2276	257	32	0.08118
Mersey MillFalls	1980	365	8.32797	0.45605	20.09643	2.16554	0.9635	276	54	0.08899
Mersey MillFalls	1981	365	10.62682	0.45461	14.57500	1.09572	1.402	264	24	0.09400
Mersey MillFalls	1982	365	6.66042	0.32826	5.81250	0.32659	0.7853	243	31	0.08331
Mersey MillFalls	1983	366	8.45498	0.35334	17.32414	0.90476	1.236	286	18	0.09579
Mersey MillFalls	1984	365	6.48005	0.34835	4.81143	0.53721	1.552	274	38	0.09786
Mersey MillFalls	1985	365	7.27711	0.38087	5.88786	0.71052	1.062	286	48	0.10899
Mersey MillFalls	1986	365	6.15274	0.41832	2.91071	0.10325	0.1954	252	41	0.07970
Mersey MillFalls	1987	366	7.96197	0.33560	18.30345	1.05753	1.41	203	35	0.08031
Mersey MillFalls	1988	365	7.24642	0.38245	6.43786	0.93916	0.3698	258	54	0.09268
Mersey MillFalls	1989	365	8.96097	0.38030	13.86607	0.74460	0.9888	264	29	0.09520
Mersey MillFalls	1990	365	8.68630	0.39972	6.13071	0.14470	0.5269	207	41	0.08904
Mersey MillFalls	1991	366	8.14422	0.41425	7.21724	0.22074	0.2168	262	18	0.09307
Mersey MillFalls	1992	365	6.73845	0.39213	7.14464	0.21605	0.1599	261	57	0.09286
Mersey MillFalls	1993	365	11.84295	0.69911	6.86286	0.74847	0.5842	271	39	0.11260
Mersey MillFalls	1994	365	7.53289	0.38972	11.84295	0.69911	0.311	261	39	0.08678
Mersey MillFalls	1995	366	8.46252	0.37245	10.33607	1.25420	0.9656	279	26	0.10089
Mersey MillFalls	1996	365	8.72205	0.34976	12.34310	2.21056	0.193	270	6	0.07622
Mersey MillFalls	1997	365	6.59640	0.48215	12.44107	2.28872	0.0837	298	85	0.11159
Mersey MillFalls	1998	365	8.48503	0.41229	10.99250	0.47902	0.3589	204	39	0.08979
Mersey MillFalls	1999	366	7.26125	0.30685	11.56653	1.32627	0.1577	257	10	0.07842
Mersey MillFalls	2000	364	6.35506	0.42414	9.52469	0.27012	0.1289	265	41	0.07559
Mersey MillFalls	2001	365	6.14504	0.41695	9.39343	0.24468	0.1058	254	94	0.08712
Mersey MillFalls	2002	365	11.05705	0.81189	4.36964	0.08178	1.045	214	60	0.15809
