Placement Year,Retrieval Year,YearsDecaying,Stand ID,Site ID,ADR Station ID,Placement,Humus Depth (cm),Buried Depth (cm),% Mass Lost
2004,2005,1,RM,A,05,B,2,1,11.0
2004,2005,1,RM,A,06,B,3,1,14.6
2004,2005,1,RM,A,07,B,2,1,100.0
2004,2005,1,RM,A,09,B,2,1,13.0
2005,2007,2,SB,A,09,B,999,1,16.2
2004,2005,1,BD,A,03,B,3,2,10.3
2004,2005,1,BD,B,03,B,3,2,8.9
2004,2005,1,CFR,B,02,B,9,2,19.8
2004,2005,1,CFR,B,12,B,3,2,47.0
2004,2005,1,PL,A,12,B,5,2,75.1
2004,2005,1,RM,A,01,B,4,2,7.2
2004,2005,1,RM,A,04,B,5,2,13.4
2004,2005,1,RM,A,08,B,999,2,19.9
2004,2005,1,RM,A,10,B,3,2,100.0
2005,2006,1,BD,A,02,B,6,2,27.8
2005,2006,1,BD,A,03,B,5,2,100.0
2005,2007,2,BD,B,11,B,7,2,25.1
2005,2006,1,BM,A,05,B,27,2,14.0
2005,2006,1,CFR,B,02,B,11,2,17.2
2005,2007,2,CFR,B,12,B,3,2,76.0
2005,2007,2,CL,A,07,B,999,2,20.9
2005,2007,2,CL,B,12,B,10,2,90.8
2005,2007,2,CLT,B,12,B,5,2,54.0
2005,2006,1,NCL,A,01,B,5,2,19.0
2005,2006,1,NCL,A,02,B,5,2,27.8
2005,2007,2,NCL,A,09,B,4,2,38.8
2005,2007,2,PL,A,09,B,4,2,28.1
2005,2007,2,PL,A,12,B,4,2,84.4
2005,2006,1,PL,B,03,B,4,2,5.9
2005,2006,1,RM,A,01,B,4,2,14.8
2005,2006,1,RM,A,02,B,4,2,999.0
2005,2006,1,RM,A,03,B,4,2,12.5
2005,2006,1,RM,A,06,B,18,2,36.0
2005,2007,2,RM,A,08,B,>15,2,50.2
2005,2007,2,RM,A,09,B,>15,2,52.7
2005,2007,2,RM,A,11,B,11,2,43.4
2005,2007,2,RM,A,12,B,999,2,83.3
2005,2006,1,SB,A,01,B,999,2,6.6
2005,2006,1,SB,A,02,B,999,2,26.5
2005,2006,1,SB,A,03,B,999,2,6.3
2005,2006,1,SB,A,04,B,999,2,18.4
2005,2006,1,SB,A,05,B,999,2,8.9
2005,2006,1,SB,A,06,B,999,2,0.0
2005,2007,2,SB,A,07,B,999,2,83.9
2005,2007,2,SB,A,08,B,999,2,76.7
2005,2007,2,SB,A,10,B,999,2,45.1
2005,2006,1,SB,B,01,B,999,2,7.9
2005,2006,1,SB,B,02,B,999,2,4.2
2005,2006,1,SB,B,03,B,999,2,37.0
2005,2006,1,SB,B,04,B,999,2,7.8
2005,2006,1,SB,B,05,B,999,2,12.4
2005,2007,2,SB,B,08,B,999,2,58.8
2005,2007,2,SB,B,12,B,999,2,41.6
2004,2005,1,BD,A,02,B,7,3,14.2
2004,2005,1,BD,A,12,B,7,3,12.4
2004,2005,1,BD,B,02,B,7,3,35.7
2004,2005,1,BD,B,12,B,7,3,9.0
2004,2005,1,BM,B,10,B,25,3,13.6
2004,2005,1,CFR,A,03,B,10,3,25.2
2004,2005,1,CFR,A,05,B,5,3,29.9
2004,2005,1,CFR,A,09,B,6,3,16.3
2004,2005,1,CFR,A,12,B,7,3,16.6
2004,2005,1,CFR,B,05,B,7,3,100.0
2004,2005,1,CFR,B,11,B,6,3,43.2
2004,2005,1,CL,A,04,B,7,3,17.4
2004,2005,1,CL,A,05,B,5,3,100.0
2004,2005,1,CL,B,11,B,7,3,67.6
2004,2005,1,CLT,A,02,B,5,3,5.4
2004,2005,1,CLT,A,10,B,5,3,15.3
2004,2005,1,CLT,B,10,B,5,3,19.1
2004,2005,1,NCL,A,01,B,5,3,50.1
2004,2005,1,NCL,A,02,B,5,3,36.2
2004,2005,1,NCL,A,04,B,7,3,10.4
2004,2005,1,NCL,A,06,B,7,3,0.4
2004,2005,1,NCL,A,09,B,4,3,9.2
2004,2005,1,NCL,B,05,B,6,3,7.9
2004,2005,1,PL,A,01,B,11,3,21.3
2004,2005,1,PL,A,06,B,7,3,7.9
2004,2005,1,PL,A,09,B,4,3,13.0
2004,2005,1,PL,B,03,B,6,3,7.9
2004,2005,1,PL,B,05,B,7,3,13.7
2004,2005,1,PL,B,06,B,6,3,16.6
2004,2005,1,RM,A,02,B,5,3,28.1
2004,2005,1,SM,A,07,B,8,3,7.7
2005,2007,2,BD,A,09,B,5,3,100.0
2005,2007,2,BD,A,10,B,8,3,52.9
2005,2006,1,BD,B,05,B,7,3,14.8
2005,2007,2,BM,A,09,B,37,3,38.3
2005,2006,1,BM,B,04,B,32,3,15.3
2005,2006,1,CFR,A,03,B,7,3,38.2
2005,2006,1,CFR,A,05,B,5,3,35.1
2005,2007,2,CFR,A,09,B,6,3,87.4
2005,2007,2,CFR,A,12,B,7,3,15.0
2005,2006,1,CFR,B,03,B,4,3,37.1
2005,2007,2,CFR,B,08,B,5,3,59.7
2005,2007,2,CFR,B,10,B,7,3,90.0
2005,2006,1,CL,A,02,B,8,3,31.4
2005,2006,1,CL,A,04,B,5,3,25.8
2005,2006,1,CL,A,05,B,6,3,15.2
2005,2007,2,CL,A,09,B,999,3,28.2
2005,2007,2,CL,A,10,B,999,3,31.1
2005,2007,2,CL,A,11,B,999,3,24.4
2005,2006,1,CL,B,03,B,>15,3,13.5
2005,2006,1,CLT,A,02,B,5,3,11.4
2005,2006,1,CLT,A,03,B,6,3,7.0
2005,2007,2,CLT,A,09,B,8,3,40.9
2005,2006,1,CLT,B,04,B,4,3,20.8
2005,2007,2,CLT,B,10,B,8,3,23.8
2005,2006,1,NCL,A,03,B,6,3,6.5
2005,2006,1,NCL,A,04,B,4,3,15.1
2005,2006,1,NCL,A,06,B,5,3,7.4
2005,2006,1,NCL,B,05,B,6,3,10.0
2005,2006,1,NCL,B,06,B,6,3,60.1
2005,2007,2,NCL,B,07,B,6,3,10.3
2005,2006,1,PL,A,04,B,8,3,5.3
2005,2006,1,PL,A,06,B,12,3,5.5
2005,2006,1,PL,B,04,B,6,3,18.3
2005,2006,1,PL,B,05,B,7,3,31.2
2005,2006,1,PL,B,06,B,7,3,29.4
2005,2007,2,PL,B,08,B,7,3,43.6
2005,2006,1,RM,A,04,B,18,3,999.0
2005,2007,2,SB,A,12,B,999,3,45.8
2005,2006,1,SB,B,06,B,999,3,0.0
2005,2007,2,SB,B,09,B,999,3,29.0
2005,2007,2,SB,B,10,B,999,3,999.0
2005,2006,1,SM,A,04,B,6,3,12.1
2005,2006,1,SM,B,03,B,13,3,37.3
2005,2006,1,SM,B,06,B,15,3,18.4
2005,2007,2,SM,B,10,B,9,3,25.9
2004,2005,1,BD,A,08,B,7,4,28.3
2004,2005,1,BD,A,09,B,7,4,12.6
2004,2005,1,BD,B,08,B,7,4,9.1
2004,2005,1,BD,B,09,B,7,4,6.6
2004,2005,1,BM,A,07,B,35,4,11.6
2004,2005,1,BM,B,09,B,41,4,100.0
2004,2005,1,BM,B,11,B,45,4,19.4
2004,2005,1,CFR,A,01,B,9,4,11.7
2004,2005,1,CFR,A,02,B,5,4,10.8
2004,2005,1,CFR,A,04,B,7,4,17.7
2004,2005,1,CFR,A,10,B,7,4,24.2
2004,2005,1,CFR,A,11,B,8,4,1.9
2004,2005,1,CFR,B,01,B,9,4,23.3
2004,2005,1,CFR,B,03,B,7,4,33.0
2004,2005,1,CFR,B,06,B,7,4,100.0
2004,2005,1,CFR,B,07,B,8,4,18.0
2004,2005,1,CFR,B,08,B,7,4,28.9
2004,2005,1,CFR,B,10,B,9,4,14.4
2004,2005,1,CL,A,07,B,7,4,53.8
2004,2005,1,CL,B,05,B,9,4,28.6
2004,2005,1,CL,B,06,B,7,4,31.2
2004,2005,1,CLT,A,03,B,9,4,2.6
2004,2005,1,CLT,A,04,B,7,4,2.3
2004,2005,1,CLT,A,05,B,5,4,7.8
2004,2005,1,CLT,A,06,B,6,4,4.4
2004,2005,1,CLT,A,07,B,7,4,999.0
2004,2005,1,CLT,A,08,B,8,4,1.8
2004,2005,1,CLT,A,11,B,9,4,9.1
2004,2005,1,CLT,B,02,B,8,4,3.8
2004,2005,1,CLT,B,04,B,8,4,59.7
2004,2005,1,CLT,B,07,B,7,4,28.9
2004,2005,1,CLT,B,12,B,8,4,9.3
2004,2005,1,NCL,A,05,B,7,4,2.0
2004,2005,1,NCL,A,10,B,8,4,999.0
2004,2005,1,NCL,B,06,B,6,4,22.7
2004,2005,1,NCL,B,07,B,8,4,8.2
2004,2005,1,PL,A,03,B,8,4,13.1
2004,2005,1,PL,A,04,B,10,4,6.0
2004,2005,1,PL,A,05,B,11,4,100.0
2004,2005,1,PL,A,07,B,8,4,20.4
