Year,Month,Day,Plot,Tree,Index of Air Purity,
2006,8,10,CL-A,L01,1.250,
2006,8,10,CL-A,L02,1.550,
2006,8,10,CL-A,L03,0.400,
2006,8,10,CL-A,L04,0.000,
2006,8,10,CL-A,L05,0.550,
2006,8,10,CL-A,L06,0.950,
2006,8,10,CL-A,L07,1.650,
2006,8,10,CL-A,L08,1.200,
2006,8,10,CL-A,L09,0.933,
2006,8,10,CL-A,L10,1.600,
2006,8,10,CL-A,L11,0.650,
2006,8,10,CL-A,L12,1.200,
2006,8,10,CL-B,L01,0.000,
2006,8,10,CL-B,L02,0.000,
2006,8,10,CL-B,L03,0.700,
2006,8,10,CL-B,L04,0.900,
2006,8,10,CL-B,L05,1.050,
2006,8,10,CL-B,L06,0.150,
2006,8,10,CL-B,L07,1.100,
2006,8,10,CL-B,L08,1.000,
2006,8,10,CL-B,L09,0.800,
2006,8,10,CL-B,L10,1.050,
2006,8,10,CL-B,L11,1.600,
2006,8,10,CL-B,L12,1.050,
2006,8,9,CLT-A,L01,0.267,
2006,8,9,CLT-A,L02,0.000,
2006,8,9,CLT-A,L03,0.000,
2006,8,9,CLT-A,L04,0.300,
2006,8,9,CLT-A,L05,1.450,
2006,8,9,CLT-A,L06,1.000,
2006,8,9,CLT-A,L07,1.000,
2006,8,9,CLT-A,L08,0.850,
2006,8,9,CLT-A,L09,0.200,
2006,8,9,CLT-A,L10,0.950,
2006,8,9,CLT-A,L11,0.850,
2006,8,9,CLT-A,L12,1.000,
2006,8,9,CLT-A,L13,0.900,
2006,8,9,CLT-A,L14,1.100,
2006,8,9,CLT-A,L15,1.100,
2006,8,9,CLT-B,L01,1.100,
2006,8,9,CLT-B,L02,1.050,
2006,8,9,CLT-B,L03,1.050,
2006,8,9,CLT-B,L04,0.050,
2006,8,9,CLT-B,L05,0.750,
2006,8,9,CLT-B,L06,0.300,
2006,8,9,CLT-B,L07,0.950,
2006,8,9,CLT-B,L08,1.550,
2006,8,9,CLT-B,L09,1.350,
2006,8,9,CLT-B,L10,1.650,
2006,8,9,CLT-B,L11,1.000,
2006,8,9,CLT-B,L12,1.350,
2006,8,11,PL-A,L01,1.000,
2006,8,11,PL-A,L02,0.100,
2006,8,11,PL-A,L03,0.050,
2006,8,11,PL-A,L04,0.100,
2006,8,11,PL-A,L05,0.100,
2006,8,11,PL-A,L06,0.000,
2006,8,11,PL-A,L07,0.800,
2006,8,11,PL-A,L08,0.050,
2006,8,11,PL-A,L09,0.150,
2006,8,11,PL-A,L10,0.300,
2006,8,11,PL-A,L11,0.100,
2006,8,11,PL-A,L12,1.050,
2006,8,11,PL-A,L13,0.100,
2006,8,11,PL-A,L14,0.950,
2006,8,11,PL-B,L01,0.950,
2006,8,11,PL-B,L02,0.000,
2006,8,11,PL-B,L03,0.800,
2006,8,11,PL-B,L04,0.400,
2006,8,11,PL-B,L05,0.700,
2006,8,11,PL-B,L06,0.650,
2006,8,11,PL-B,L07,1.267,
2006,8,11,PL-B,L08,0.800,
2006,8,11,PL-B,L09,1.050,
2006,8,11,PL-B,L10,0.650,
2006,8,11,PL-B,L11,1.050,
2006,8,11,PL-B,L12,0.850,
2006,8,11,PL-B,L13,1.100,
2006,8,11,PL-B,L14,1.100,
2006,8,11,PL-B,L15,1.050,
