Date,Surveyors,Site-ID,Plot-ID,Tree ID,Tree species,Lichen species,Sampling method,
"August 9, 2006","MNC, CAS",CLT-A,01,L01,rM,USNESPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L01,rM,LOBAPULM,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L01,rM,LECASPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L01,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L01,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L01,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L02,rM,PSEUPERP,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L02,rM,USNESPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L02,rM,LECASPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L02,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L02,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L02,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,GRAPSCRI,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,ROPACHLO,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,USNESPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,LECASPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L03,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L04,rM,ROPACHLO,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L04,rM,HYPOPHYS,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L04,rM,USNESPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L04,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L04,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L04,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L05,rM,cf. BACISCHW,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L05,rM,LOBASCRO,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L05,rM,LEPTSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L05,rM,LOBAPULM,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L05,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L05,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,LECACAES,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,cf. LECAHYBO,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,PSEUPERP,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,LOBAPULM,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L06,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L07,rM,cf. LEPRSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L07,rM,LOBAPULM,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L07,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L07,rM,PARMSQSA,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,cf. LECACINE,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,cf. LECATHYS,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,cf. LEPRSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,cf. LECAHYBO,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,PSEUPERP,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,LOBAPULM,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,PERTAMAR,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,CLADSPP.,rM inventory,
"August 9, 2006","MNC, CAS",CLT-A,01,L08,rM,PARMSQSA,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L09,rM,PUNCRUDE,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L09,rM,ROPACHLO,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L09,rM,HYPOPHYS,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L09,rM,CLADSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L09,rM,PARMSQSA,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,LEPTSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,USNESTRI,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,HYPOPHYS,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,USNESPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,LECASPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,CLADSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L10,rM,PARMSQSA,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L11,rM,cf. LECACAES,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L11,rM,cf. LECAHYBO,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L11,rM,LECASPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L11,rM,PERTAMAR,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L11,rM,CLADSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L11,rM,PARMSQSA,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L12,rM,cf. ARTHSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L12,rM,LOBAQUER,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L12,rM,USNESTRI,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L12,rM,LOBAPULM,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L12,rM,LECASPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L12,rM,PARMSQSA,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L13,rM,ARTHSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L13,rM,USNESPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L13,rM,LOBAPULM,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L13,rM,LECASPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L13,rM,CLADSPP.,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L13,rM,PARMSQSA,rM inventory,
"August 18, 2006",MNC,CLT-A,01,L01,rM,LOBAPULM,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L01,rM,PERTAMAR,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L01,rM,CLADSPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L01,rM,PARMSQSA,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L02,rM,LECACAES,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L02,rM,PARMSQSA,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L03,rM,USNESPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L03,rM,USNESPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L03,rM,USNESPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L03,rM,PARMSQSA,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L04,rM,CLADSPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L04,rM,PARMSQSA,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L05,rM,LOBASCRO,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L05,rM,LEPTSPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L05,rM,LOBAPULM,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L05,rM,CLADSPP.,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L05,rM,PARMSQSA,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L06,rM,PSEUPERP,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L06,rM,LOBAPULM,rM ladder,
"August 18, 2006",MNC,CLT-A,01,L06,rM,PERTAMAR,rM ladder,
