year	site	visit	count
2003	1	1	2
2003	1	2	2
2003	1	3	7
2003	1	4	13
2003	1	5	6
2003	1	6	8
2003	1	7	2
2003	1	8	8
2003	1	9	4
2003	1	10	6
2003	1	11	10
2003	1	12	3
2003	1	13	3
2003	2	1	1
2003	2	2	4
2003	2	3	5
2003	2	4	6
2003	2	5	10
2003	2	6	7
2003	2	7	7
2003	2	8	12
2003	2	9	4
2003	2	10	9
2003	2	11	4
2003	2	12	5
2003	2	13	2
2003	3	1	2
2003	3	2	1
2003	3	3	1
2003	3	4	1
2003	3	5	2
2003	3	6	2
2003	3	7	3
2003	3	8	1
2003	3	9	1
2003	3	10	1
2003	3	11	2
2003	3	12	1
2003	4	1	4
2003	4	2	7
2003	4	3	11
2003	4	4	6
2003	4	5	14
2003	4	6	15
2003	4	7	11
2003	4	8	22
2003	4	9	16
2003	4	10	21
2003	4	11	14
2003	4	12	3
2003	4	13	5
2003	5	1	2
2003	5	2	2
2003	5	3	5
2003	5	4	7
2003	5	5	9
2003	5	6	4
2003	5	7	8
2003	5	8	11
2003	5	9	8
2003	5	10	5
2003	5	11	13
2003	5	12	5
2003	5	13	2
2003	6	1	4
2003	6	2	4
2003	6	3	8
2003	6	4	7
2003	6	5	8
2003	6	6	9
2003	6	7	7
2003	6	8	13
2003	6	9	15
2003	6	10	8
2003	6	11	9
2003	6	12	7
2003	6	13	4
2003	7	1	1
2003	7	2	3
2003	7	3	4
2003	7	4	2
2003	7	5	6
2003	7	6	4
2003	7	7	6
2003	7	8	5
2003	7	9	5
2003	7	10	3
2003	7	11	3
2003	8	1	2
2003	8	2	2
2003	8	3	3
2003	8	4	3
2003	8	5	2
2003	8	6	5
2003	8	7	1
2003	8	8	3
2003	8	9	7
2003	8	10	6
2003	8	11	3
2003	8	12	1
2003	9	1	5
2003	9	2	3
2003	9	3	3
2003	9	4	2
2003	9	5	5
2003	9	6	4
2003	9	7	7
2003	9	8	6
2003	9	9	9
2003	9	10	4
2003	9	11	10
2003	9	12	3
2003	9	13	2
2003	10	1	3
2003	10	2	3
2003	10	3	1
2003	10	4	6
2003	10	5	5
2003	10	6	5
2003	10	7	5
2003	10	8	11
2003	10	9	8
2003	10	10	2
2003	10	11	4
