Waterbody,Year,Shoreline Sector,Four.Spine.Stickleback,Banded.Killifish,White.Perch,American.Eel,Brook.Trout,Rainbow.Smelt,Gaspereau,Mummichog,Species Richness,Shannon-wiener,p,p,p,p,p,p,p,p,p*log(p),p*log(p),p*log(p),p*log(p),p*log(p),p*log(p),p*log(p),p*log(p)
2,2006,1,1,166,14,0,0,0,0,0,3,0.306028661642169,0.00552486187845304,0.917127071823204,0.0773480662983425,0,0,0,0,0,-0.0287209783739861,-0.0793399694656822,-0.197967713802501,,,,,
2,2006,2,1,46,63,1,0,0,0,0,4,0.77291812118235,0.00552486187845304,0.25414364640884,0.348066298342541,0.00552486187845304,0,0,0,0,-0.0287209783739861,-0.348140109720706,-0.367336054713672,-0.0287209783739861,,,,
2,2006,4,2,0,9,4,0,0,0,0,3,0.283264988973167,0.0110497237569061,0,0.0497237569060773,0.0220994475138122,0,0,0,0,-0.0497828717997197,,-0.149234543470513,-0.0842475737029344,,,,
2,2006,9,12,10,1,1,0,0,0,0,4,0.397343639646084,0.0662983425414365,0.0552486187845304,0.00552486187845304,0.00552486187845304,0,0,0,0,-0.179906546511895,-0.159995136386217,-0.0287209783739861,-0.0287209783739861,,,,
2,2006,10,13,44,6,0,2,0,0,0,4,0.695672771462278,0.0718232044198895,0.243093922651934,0.0331491712707182,0,0.0110497237569061,0,0,0,-0.189149834905474,-0.34380953665638,-0.112930528100705,,-0.0497828717997197,,,
2,2006,11,5,2,1,0,0,0,0,0,3,0.177649130737445,0.0276243093922652,0.0110497237569061,0.00552486187845304,0,0,0,0,0,-0.0991452805637395,-0.0497828717997197,-0.0287209783739861,,,,,
2,2006,24,2,24,3,0,0,0,0,0,3,0.385640836917212,0.0110497237569061,0.132596685082873,0.0165745856353591,0,0,0,0,0,-0.0497828717997197,-0.267904073644761,-0.0679538914727312,,,,,
2,2006,26,10,617,7,0,0,1,0,0,4,0.314506768980337,0.0552486187845304,3.40883977900552,0.0386740331491713,0,0,0.00552486187845304,0,0,-0.159995136386217,4.1805056761358,-0.125790654220134,,,-0.0287209783739861,,
2,2006,22,0,0,18,0,0,0,0,0,1,0.229537322406753,0,0,0.0994475138121547,0,0,0,0,0,,,-0.229537322406753,,,,,
2,2006,3,1,7,15,0,0,0,0,0,3,0.360902256039204,0.00552486187845304,0.0386740331491713,0.0828729281767956,0,0,0,0,0,-0.0287209783739861,-0.125790654220134,-0.206390623445084,,,,,
2,2006,17,19,1,2,0,0,0,0,0,3,0.31511768132435,0.104972375690608,0.00552486187845304,0.0110497237569061,0,0,0,0,0,-0.236613831150644,-0.0287209783739861,-0.0497828717997197,,,,,
2,2006,14,16,60,2,0,0,0,0,0,3,0.630245204324605,0.0883977900552486,0.331491712707182,0.0110497237569061,0,0,0,0,0,-0.214444935639698,-0.366017396885187,-0.0497828717997197,,,,,
2,2006,12,6,202,0,1,0,0,0,0,3,0.141651506474691,0.0331491712707182,1.11602209944751,0,0.00552486187845304,0,0,0,0,-0.112930528100705,0.122506490560739,,-0.0287209783739861,,,,
2,2006,27,1,96,7,3,0,0,0,0,4,0.558809663613658,0.00552486187845304,0.530386740331492,0.0386740331491713,0.0165745856353591,0,0,0,0,-0.0287209783739861,-0.336344139546807,-0.125790654220134,-0.0679538914727312,,,,
2,2006,5,0,1,10,3,0,0,0,0,3,0.256670006232934,0,0.00552486187845304,0.0552486187845304,0.0165745856353591,0,0,0,0,,-0.0287209783739861,-0.159995136386217,-0.0679538914727312,,,,
2,2006,8,26,1,0,1,0,0,0,0,3,0.336173522231637,0.143646408839779,0.00552486187845304,0,0.00552486187845304,0,0,0,0,-0.278731565483665,-0.0287209783739861,,-0.0287209783739861,,,,
2,2006,16,6,0,0,1,0,0,0,0,2,0.141651506474691,0.0331491712707182,0,0,0.00552486187845304,0,0,0,0,-0.112930528100705,,,-0.0287209783739861,,,,
2,2006,13,6,42,0,0,2,0,0,0,3,0.501689930218749,0.0331491712707182,0.232044198895028,0,0,0.0110497237569061,0,0,0,-0.112930528100705,-0.338976530318324,,,-0.0497828717997197,,,
2,2006,15,13,2,0,2,0,0,0,0,3,0.288715578504913,0.0718232044198895,0.0110497237569061,0,0.0110497237569061,0,0,0,0,-0.189149834905474,-0.0497828717997197,,-0.0497828717997197,,,,
2,2006,25,0,36,1,0,0,0,0,0,2,0.349932094118948,0,0.198895027624309,0.00552486187845304,0,0,0,0,0,,-0.321211115744962,-0.0287209783739861,,,,,
2,2006,28,2,96,21,0,0,0,0,0,3,0.63603566846234,0.0110497237569061,0.530386740331492,0.116022099447514,0,0,0,0,0,-0.0497828717997197,-0.336344139546807,-0.249908657115813,,,,,
1,2006,20,0,1887,19,8,0,0,26,2,5,0.702987076046888,0,10.4254143646409,0.104972375690608,0.0441988950276243,0,0,0.143646408839779,0.0110497237569061,,24.4397415382577,-0.236613831150644,-0.137858807612859,,,-0.278731565483665,-0.0497828717997197
1,2006,22,7,43,36,37,0,0,245,3,6,1.18094569470105,0.0386740331491713,0.237569060773481,0.198895027624309,0.204419889502762,0,0,1.35359116022099,0.0165745856353591,-0.125790654220134,-0.34145728186001,-0.321211115744962,-0.324532751403216,,,0.40981486022056,-0.0679538914727312
1,2006,2,3,39,5,12,0,0,0,0,4,0.677737655824836,0.0165745856353591,0.215469613259669,0.0276243093922652,0.0662983425414365,0,0,0,0,-0.0679538914727312,-0.33073193727647,-0.0991452805637395,-0.179906546511895,,,,
1,2006,8,5,86,183,5,0,0,0,3,5,0.619818363545373,0.0276243093922652,0.475138121546961,1.01104972375691,0.0276243093922652,0,0,0,0.0165745856353591,-0.0991452805637395,-0.353573910945163,0.0111105484496584,-0.0991452805637395,,,,-0.0679538914727312
